,0
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,1
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,0
485,1
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,1
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
