,0
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,0
469,1
470,1
471,0
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,1
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,1
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,1
539,0
540,0
541,1
542,0
543,1
544,0
545,0
546,0
547,1
548,0
549,0
550,1
551,1
552,0
553,1
554,0
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,0
575,1
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,0
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,1
617,0
618,1
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,1
634,0
635,0
636,0
637,1
638,0
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,1
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,1
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,1
709,0
710,1
711,0
712,0
713,1
714,0
715,1
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,0
743,1
744,1
745,1
746,0
747,0
748,0
749,1
750,0
751,1
752,1
753,0
754,0
755,0
756,1
757,0
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,1
780,1
